team_id,season,home_attendance,wins,playoff_flag,team_name,league,division,market_tier,metro_population_m,source_note,stadium_capacity,market_base_price,market_multiplier,wins_percentile,ticket_price_proxy,playoff_rate,sponsorship_proxy,attendance_pct,attendance_yoy_growth,attendance_consistency,wins_trend,engagement_momentum,revenue_potential,revenue_proxy,fan_demand,operational_efficiency,fan_demand_score,revenue_potential_score,engagement_momentum_score,operational_efficiency_score,cpi,cpi_rank,cpi_tier
ARI,2015,2171483,85,0,Arizona Diamondbacks,NL,NL West,Medium,5.0,"Approximate metro population, public estimates",48500,35,1.0,0.6,37.8,0.0,109.0,0.5527511772941326,0.0,1.0,0.0,0.0,82082057.39999999,82082057.39999999,0.5263755886470662,1.0,46.666666666666664,46.666666666666664,36.666666666666664,51.66666666666667,45.42,16.0,Middle 20
ARI,2016,1707142,71,0,Arizona Diamondbacks,NL,NL West,Medium,5.0,"Approximate metro population, public estimates",48500,35,1.0,0.4,35.7,0.0,106.0,0.43455313732976963,-0.21383589003459846,0.9164213644182404,-0.35,-0.35,60944969.400000006,60944969.400000006,0.3929229372607953,0.9164213644182404,20.0,33.33333333333333,26.666666666666668,56.666666666666664,30.83,26.0,Bottom 5
ARI,2017,2703357,89,1,Arizona Diamondbacks,NL,NL West,Medium,5.0,"Approximate metro population, public estimates",48500,35,1.0,0.7833333333333333,39.72,0.3333333333333333,118.4,0.6881397479954181,0.5835571967651196,0.8731096202511492,0.3666666666666664,0.5333333333333331,107377340.03999999,107377340.03999999,0.7082365782517763,0.8731096202511492,90.0,70.0,80.0,43.333333333333336,75.0,7.0,Middle 20
ARI,2018,1478732,63,0,Arizona Diamondbacks,NL,NL West,Medium,5.0,"Approximate metro population, public estimates",48500,35,1.0,0.11666666666666667,32.72,0.3333333333333333,108.4,0.3764113529336897,-0.4530015828468086,0.8620816050844926,-0.5666666666666664,-0.3999999999999998,48384111.04,48384111.04,0.29047568202626584,0.8620816050844926,6.666666666666667,13.333333333333334,13.333333333333334,23.333333333333332,12.5,29.0,Bottom 5
ARI,2019,1374975,61,0,Arizona Diamondbacks,NL,NL West,Medium,5.0,"Approximate metro population, public estimates",48500,35,1.0,0.03333333333333333,31.85,0.3333333333333333,107.2,0.35,-0.07016619644398037,0.8453373266697509,-0.5,-0.33333333333333337,43792953.75,43792953.75,0.36879278255644266,0.8453373266697509,13.333333333333334,13.333333333333334,20.0,20.0,15.67,29.0,Bottom 5
ARI,2020,1975717,80,0,Arizona Diamondbacks,NL,NL West,Medium,5.0,"Approximate metro population, public estimates",48500,35,1.0,0.38333333333333336,35.53,0.0,105.8,0.5029189257986509,0.4369112165675739,0.8456449553084413,0.6,0.6,70197225.01,70197225.01,0.5720985058683292,0.8456449553084413,53.333333333333336,33.33333333333333,70.0,13.333333333333334,44.67,19.0,Middle 20
ARI,2021,1734382,67,0,Arizona Diamondbacks,NL,NL West,Medium,5.0,"Approximate metro population, public estimates",48500,35,1.0,0.21666666666666667,33.78,0.0,103.2,0.4414870815833015,-0.12215059140555051,0.9314042448695552,-0.11666666666666643,-0.11666666666666643,58587423.96,58587423.96,0.42305695415765193,0.9314042448695552,26.666666666666668,23.333333333333332,46.666666666666664,90.0,39.17,23.0,Middle 20
ARI,2022,2098795,81,0,Arizona Diamondbacks,NL,NL West,Medium,5.0,"Approximate metro population, public estimates",48500,35,1.0,0.4666666666666667,36.4,0.0,107.0,0.5342484408807433,0.21011115198381902,0.9188306032070815,0.25,0.25,76396138.0,76396138.0,0.5493596592380968,0.9188306032070815,56.666666666666664,33.33333333333333,53.333333333333336,86.66666666666667,53.5,15.0,Middle 20
ARI,2023,2431888,83,0,Arizona Diamondbacks,NL,NL West,Medium,5.0,"Approximate metro population, public estimates",48500,35,1.0,0.6166666666666667,37.98,0.0,109.2,0.6190372915871197,0.15870678174857478,0.9260874497984387,0.3,0.3,92363106.24,92363106.24,0.5807172036803132,0.9260874497984387,73.33333333333333,53.333333333333336,66.66666666666666,83.33333333333334,67.5,8.0,Middle 20
ARI,2024,1526772,60,0,Arizona Diamondbacks,NL,NL West,Medium,5.0,"Approximate metro population, public estimates",48500,35,1.0,0.03333333333333333,31.85,0.0,100.5,0.38863993890798015,-0.3721865480647135,0.8981850156278266,-0.7333333333333336,-0.7333333333333336,48627688.2,48627688.2,0.3258195863447684,0.8981850156278266,10.0,20.0,6.666666666666667,66.66666666666666,20.83,27.0,Bottom 5
